,Substrate ,Microorganism,Reactoe/Mode,pH,Temperature °C,Hydrogen yield,Refrence ,Incitatiom,Location,,,
,Coffee mucilage combined with organic wastes,Mixed cultures,Bioreactor (30 L),7,30,"0.079(mol H2/mol
Hexose)","Cárdenas, E. L. M., Zapata-Zapata, A. D., & Kim, D. (2018). Hydrogen Production from Coffee Mucilage in Dark Fermentation with Organic Wastes. Energies, 12(1), 71. https://doi.org/10.3390/en12010082","(Cárdenas et al., 2018)",https://sci-hub.se/10.3390/en12010071,,,
,Coffee mucilage combined with organic wastes,Mixed cultures,Bioreactor (30 L),7,40,"0.025(mol H2/mol
Hexose)","Cárdenas, E. L. M., Zapata-Zapata, A. D., & Kim, D. (2018). Hydrogen Production from Coffee Mucilage in Dark Fermentation with Organic Wastes. Energies, 12(1), 71. https://doi.org/10.3390/en12010083","(Cárdenas et al., 2018)",https://sci-hub.se/10.3390/en12010071,,,
,Coffee mucilage combined with organic wastes,Mixed cultures,Bioreactor (30 L),5,30,"0.109(mol H2/mol
Hexose)","Cárdenas, E. L. M., Zapata-Zapata, A. D., & Kim, D. (2018). Hydrogen Production from Coffee Mucilage in Dark Fermentation with Organic Wastes. Energies, 12(1), 71. https://doi.org/10.3390/en12010084","(Cárdenas et al., 2018)",https://sci-hub.se/10.3390/en12010071,,,
,Coffee mucilage combined with organic wastes,Mixed cultures,Bioreactor (30 L),5,40,"0.067(mol H2/mol
Hexose)","Cárdenas, E. L. M., Zapata-Zapata, A. D., & Kim, D. (2018). Hydrogen Production from Coffee Mucilage in Dark Fermentation with Organic Wastes. Energies, 12(1), 71. https://doi.org/10.3390/en12010085","(Cárdenas et al., 2018)",https://sci-hub.se/10.3390/en12010085,,,
,Coffee mucilage combined with organic wastes,Mixed cultures,Bioreactor (30 L),7,30,"0.082(mol H2/mol
Hexose)","Cárdenas, E. L. M., Zapata-Zapata, A. D., & Kim, D. (2018). Hydrogen Production from Coffee Mucilage in Dark Fermentation with Organic Wastes. Energies, 12(1), 71. https://doi.org/10.3390/en12010086","(Cárdenas et al., 2018)",https://sci-hub.se/10.3390/en12010071,,,
,Coffee mucilage combined with organic wastes,Mixed cultures,Bioreactor (30 L),7,40,"0.065(mol H2/mol
Hexose)","Cárdenas, E. L. M., Zapata-Zapata, A. D., & Kim, D. (2018). Hydrogen Production from Coffee Mucilage in Dark Fermentation with Organic Wastes. Energies, 12(1), 71. https://doi.org/10.3390/en12010087","(Cárdenas et al., 2018)",https://sci-hub.se/10.3390/en12010071,,,
,Coffee mucilage combined with organic wastes,Mixed cultures,Bioreactor (30 L),5,30,"0(mol H2/mol
Hexose)","Cárdenas, E. L. M., Zapata-Zapata, A. D., & Kim, D. (2018). Hydrogen Production from Coffee Mucilage in Dark Fermentation with Organic Wastes. Energies, 12(1), 71. https://doi.org/10.3390/en12010088","(Cárdenas et al., 2018)",https://sci-hub.se/10.3390/en12010071,,,
,Coffee mucilage combined with organic wastes,Mixed cultures,Bioreactor (30 L),5,40,"0(mol H2/mol
Hexose)","Cárdenas, E. L. M., Zapata-Zapata, A. D., & Kim, D. (2018). Hydrogen Production from Coffee Mucilage in Dark Fermentation with Organic Wastes. Energies, 12(1), 71. https://doi.org/10.3390/en12010089","(Cárdenas et al., 2018)",https://sci-hub.se/10.3390/en12010071,,,
,Coffee mucilage combined with organic wastes,Mixed cultures,Bioreactor (30 L),7,30,"0(mol H2/mol
Hexose)","Cárdenas, E. L. M., Zapata-Zapata, A. D., & Kim, D. (2018). Hydrogen Production from Coffee Mucilage in Dark Fermentation with Organic Wastes. Energies, 12(1), 71. https://doi.org/10.3390/en12010090","(Cárdenas et al., 2018)",https://sci-hub.se/10.3390/en12010071,,,
,Coffee mucilage combined with organic wastes,Mixed cultures,Bioreactor (30 L),7,40,"0(mol H2/mol
Hexose)","Cárdenas, E. L. M., Zapata-Zapata, A. D., & Kim, D. (2018). Hydrogen Production from Coffee Mucilage in Dark Fermentation with Organic Wastes. Energies, 12(1), 71. https://doi.org/10.3390/en12010091","(Cárdenas et al., 2018)",https://sci-hub.se/10.3390/en12010071,,,
,Coffee mucilage combined with organic wastes,Mixed cultures,Bioreactor (30 L),5,30,"0(mol H2/mol
Hexose)","Cárdenas, E. L. M., Zapata-Zapata, A. D., & Kim, D. (2018). Hydrogen Production from Coffee Mucilage in Dark Fermentation with Organic Wastes. Energies, 12(1), 71. https://doi.org/10.3390/en12010092","(Cárdenas et al., 2018)",https://sci-hub.se/10.3390/en12010071,,,
,Coffee mucilage combined with organic wastes,Mixed cultures,Bioreactor (30 L),5,40,"0(mol H2/mol
Hexose)","Cárdenas, E. L. M., Zapata-Zapata, A. D., & Kim, D. (2018). Hydrogen Production from Coffee Mucilage in Dark Fermentation with Organic Wastes. Energies, 12(1), 71. https://doi.org/10.3390/en12010093","(Cárdenas et al., 2018)",https://sci-hub.se/10.3390/en12010071,,,
,Coffee mucilage combined with organic wastes,Mixed cultures,Bioreactor (30 L),7,30,"0.018(mol H2/mol
Hexose)","Cárdenas, E. L. M., Zapata-Zapata, A. D., & Kim, D. (2018). Hydrogen Production from Coffee Mucilage in Dark Fermentation with Organic Wastes. Energies, 12(1), 71. https://doi.org/10.3390/en12010094","(Cárdenas et al., 2018)",https://sci-hub.se/10.3390/en12010071,,,
,Coffee mucilage combined with organic wastes,Mixed cultures,Bioreactor (30 L),7,40,"0.029(mol H2/mol
Hexose)","Cárdenas, E. L. M., Zapata-Zapata, A. D., & Kim, D. (2018). Hydrogen Production from Coffee Mucilage in Dark Fermentation with Organic Wastes. Energies, 12(1), 71. https://doi.org/10.3390/en12010095","(Cárdenas et al., 2018)",https://sci-hub.se/10.3390/en12010071,,,
,Coffee mucilage combined with organic wastes,Mixed cultures,Bioreactor (30 L),6.5,35,"0.004(mol H2/mol
Hexose)","Cárdenas, E. L. M., Zapata-Zapata, A. D., & Kim, D. (2018). Hydrogen Production from Coffee Mucilage in Dark Fermentation with Organic Wastes. Energies, 12(1), 71. https://doi.org/10.3390/en12010096","(Cárdenas et al., 2018)",https://sci-hub.se/10.3390/en12010071,,,
,Food Waste (1 g-VS/L),Lactobacillus and Clostridium sensu stricto 1,Batch,5.5,37,"4.85(ml
H2/g-VS.L- 1","Akhbari, A., & Ibrahim, S. (2022). Bioenergy recovery from food waste through dark fermentation direction. Research Square (Research Square). https://doi.org/10.21203/rs.3.rs-1965745/v1","(Akhbari & Ibrahim, 2022)",,"Albuquerque, M. M., De Bona Sartor, G., Martinez-Burgos, W. J., Scapini, T., Edwiges, T., Soccol, C. R., & Medeiros, A. B. P. (2024). Biohydrogen produced via dark fermentation: a review. Methane, 3(3), 500–532. https://doi.org/10.3390/methane3030029","(Albuquerque et al., 2024)",
,Food Waste (5 g-VS/L),Lactobacillus and Clostridium sensu stricto 1,Batch,5.5,37,,"Akhbari, A., & Ibrahim, S. (2022). Bioenergy recovery from food waste through dark fermentation direction. Research Square (Research Square). https://doi.org/10.21203/rs.3.rs-1965745/v1","(Akhbari & Ibrahim, 2022)",,"Albuquerque, M. M., De Bona Sartor, G., Martinez-Burgos, W. J., Scapini, T., Edwiges, T., Soccol, C. R., & Medeiros, A. B. P. (2024). Biohydrogen produced via dark fermentation: a review. Methane, 3(3), 500–532. https://doi.org/10.3390/methane3030029","(Albuquerque et al., 2024)",
,Food Waste (10 g-VS/L),Lactobacillus and Clostridium sensu stricto 1,Batch,5.5,37,H2/g-VS.L- 1,"Akhbari, A., & Ibrahim, S. (2022). Bioenergy recovery from food waste through dark fermentation direction. Research Square (Research Square). https://doi.org/10.21203/rs.3.rs-1965745/v1","(Akhbari & Ibrahim, 2022)",,,,
,Food Waste (15 g-VS/L),Lactobacillus and Clostridium sensu stricto 1,Batch,5.5,37,"24.76(ml
H2/g-VS.L- 1","Akhbari, A., & Ibrahim, S. (2022). Bioenergy recovery from food waste through dark fermentation direction. Research Square (Research Square). https://doi.org/10.21203/rs.3.rs-1965745/v1","(Akhbari & Ibrahim, 2022)",,"Albuquerque, M. M., De Bona Sartor, G., Martinez-Burgos, W. J., Scapini, T., Edwiges, T., Soccol, C. R., & Medeiros, A. B. P. (2024). Biohydrogen produced via dark fermentation: a review. Methane, 3(3), 500–532. https://doi.org/10.3390/methane3030029","(Albuquerque et al., 2024)",
,Food Waste (20 g-VS/L),Lactobacillus and Clostridium sensu stricto 1,Batch,5.5,37,"12.38(ml
H2/g-VS.L- 1","Akhbari, A., & Ibrahim, S. (2022). Bioenergy recovery from food waste through dark fermentation direction. Research Square (Research Square). https://doi.org/10.21203/rs.3.rs-1965745/v1","(Akhbari & Ibrahim, 2022)",,"Albuquerque, M. M., De Bona Sartor, G., Martinez-Burgos, W. J., Scapini, T., Edwiges, T., Soccol, C. R., & Medeiros, A. B. P. (2024). Biohydrogen produced via dark fermentation: a review. Methane, 3(3), 500–532. https://doi.org/10.3390/methane3030029","(Albuquerque et al., 2024)",
,Food Waste (25 g-VS/L),Lactobacillus and Clostridium sensu stricto 1,Batch,5.5,37,"9.71(ml
H2/g-VS.L- 1","Akhbari, A., & Ibrahim, S. (2022). Bioenergy recovery from food waste through dark fermentation direction. Research Square (Research Square). https://doi.org/10.21203/rs.3.rs-1965745/v1","(Akhbari & Ibrahim, 2022)",,,,
,Food Waste (30 g-VS/L),Lactobacillus and Clostridium sensu stricto 1,Batch,5.5,37,"10.12(ml
H2/g-VS.L- 1","Akhbari, A., & Ibrahim, S. (2022). Bioenergy recovery from food waste through dark fermentation direction. Research Square (Research Square). https://doi.org/10.21203/rs.3.rs-1965745/v1","(Akhbari & Ibrahim, 2022)",,"Albuquerque, M. M., De Bona Sartor, G., Martinez-Burgos, W. J., Scapini, T., Edwiges, T., Soccol, C. R., & Medeiros, A. B. P. (2024). Biohydrogen produced via dark fermentation: a review. Methane, 3(3), 500–532. https://doi.org/10.3390/methane3030029","(Albuquerque et al., 2024)",
,Food Waste (1 g-VS/L),Lactobacillus and Clostridium sensu stricto 1,Batch,6,37,"7.74(ml
H2/g-VS.L- 1","Akhbari, A., & Ibrahim, S. (2022). Bioenergy recovery from food waste through dark fermentation direction. Research Square (Research Square). https://doi.org/10.21203/rs.3.rs-1965745/v1","(Akhbari & Ibrahim, 2022)",,,,
,Food Waste (5 g-VS/L),Lactobacillus and Clostridium sensu stricto 1,Batch,6,37,"18.21(ml
H2/g-VS.L- 1","Akhbari, A., & Ibrahim, S. (2022). Bioenergy recovery from food waste through dark fermentation direction. Research Square (Research Square). https://doi.org/10.21203/rs.3.rs-1965745/v1","(Akhbari & Ibrahim, 2022)",,"Albuquerque, M. M., De Bona Sartor, G., Martinez-Burgos, W. J., Scapini, T., Edwiges, T., Soccol, C. R., & Medeiros, A. B. P. (2024). Biohydrogen produced via dark fermentation: a review. Methane, 3(3), 500–532. https://doi.org/10.3390/methane3030029","(Albuquerque et al., 2024)",
,Food Waste (10 g-VS/L),Lactobacillus and Clostridium sensu stricto 1,Semi continious,6.5,37,52   cm3/g VS,"Akhbari, A., & Ibrahim, S. (2022). Bioenergy recovery from food waste through dark fermentation direction. Research Square (Research Square). https://doi.org/10.21203/rs.3.rs-1965745/v1","(Akhbari & Ibrahim, 2022)",,"Jain, R., Panwar, N. L., Jain, S. K., Gupta, T., Agarwal, C., & Meena, S. S. (2022). Bio-hydrogen production through dark fermentation: an overview. Biomass Conversion and Biorefinery, 14(12), 12699–12724. https://doi.org/10.1007/s13399-022-03282-7","(Jain et al., 2022)",
,Food Waste (15 g-VS/L),Lactobacillus and Clostridium sensu stricto 1,Batch,6,37,"49.36(ml
H2/g-VS.L- 1","Akhbari, A., & Ibrahim, S. (2022). Bioenergy recovery from food waste through dark fermentation direction. Research Square (Research Square). https://doi.org/10.21203/rs.3.rs-1965745/v1","(Akhbari & Ibrahim, 2022)",,"Albuquerque, M. M., De Bona Sartor, G., Martinez-Burgos, W. J., Scapini, T., Edwiges, T., Soccol, C. R., & Medeiros, A. B. P. (2024). Biohydrogen produced via dark fermentation: a review. Methane, 3(3), 500–532. https://doi.org/10.3390/methane3030029","(Albuquerque et al., 2024)",
,Food Waste (20 g-VS/L),Lactobacillus and Clostridium sensu stricto 1,Batch,6,37,"45.76(ml
H2/g-VS.L- 1","Akhbari, A., & Ibrahim, S. (2022). Bioenergy recovery from food waste through dark fermentation direction. Research Square (Research Square). https://doi.org/10.21203/rs.3.rs-1965745/v1","(Akhbari & Ibrahim, 2022)",,"Albuquerque, M. M., De Bona Sartor, G., Martinez-Burgos, W. J., Scapini, T., Edwiges, T., Soccol, C. R., & Medeiros, A. B. P. (2024). Biohydrogen produced via dark fermentation: a review. Methane, 3(3), 500–532. https://doi.org/10.3390/methane3030029","(Albuquerque et al., 2024)",
,Food Waste (25 g-VS/L),Lactobacillus and Clostridium sensu stricto 1,Batch,6,37,320? mL   H2/g VS,"Akhbari, A., & Ibrahim, S. (2022). Bioenergy recovery from food waste through dark fermentation direction. Research Square (Research Square). https://doi.org/10.21203/rs.3.rs-1965745/v1","(Akhbari & Ibrahim, 2022)",,"Jain, R., Panwar, N. L., Jain, S. K., Gupta, T., Agarwal, C., & Meena, S. S. (2022). Bio-hydrogen production through dark fermentation: an overview. Biomass Conversion and Biorefinery, 14(12), 12699–12724. https://doi.org/10.1007/s13399-022-03282-7","(Jain et al., 2022)",
,Food Waste (30 g-VS/L),Lactobacillus and Clostridium sensu stricto 1,Batch,6,37,"36.39(ml
H2/g-VS.L- 1","Akhbari, A., & Ibrahim, S. (2022). Bioenergy recovery from food waste through dark fermentation direction. Research Square (Research Square). https://doi.org/10.21203/rs.3.rs-1965745/v1","(Akhbari & Ibrahim, 2022)",,"Albuquerque, M. M., De Bona Sartor, G., Martinez-Burgos, W. J., Scapini, T., Edwiges, T., Soccol, C. R., & Medeiros, A. B. P. (2024). Biohydrogen produced via dark fermentation: a review. Methane, 3(3), 500–532. https://doi.org/10.3390/methane3030029","(Albuquerque et al., 2024)",
,Food Waste (1 g-VS/L),Lactobacillus and Clostridium sensu stricto 1,Batch,6.5,37,"5.47(ml
H2/g-VS.L- 1","Akhbari, A., & Ibrahim, S. (2022). Bioenergy recovery from food waste through dark fermentation direction. Research Square (Research Square). https://doi.org/10.21203/rs.3.rs-1965745/v1","(Akhbari & Ibrahim, 2022)",,"Albuquerque, M. M., De Bona Sartor, G., Martinez-Burgos, W. J., Scapini, T., Edwiges, T., Soccol, C. R., & Medeiros, A. B. P. (2024). Biohydrogen produced via dark fermentation: a review. Methane, 3(3), 500–532. https://doi.org/10.3390/methane3030029","(Albuquerque et al., 2024)",
,Food Waste (5 g-VS/L),Lactobacillus and Clostridium sensu stricto 1,Batch,6.5,37,"15.5(ml
H2/g-VS.L- 1","Akhbari, A., & Ibrahim, S. (2022). Bioenergy recovery from food waste through dark fermentation direction. Research Square (Research Square). https://doi.org/10.21203/rs.3.rs-1965745/v1","(Akhbari & Ibrahim, 2022)",,,,
,Food Waste (10 g-VS/L),Lactobacillus and Clostridium sensu stricto 1,Batch,6.5,37,"32.08(ml
H2/g-VS.L- 1","Akhbari, A., & Ibrahim, S. (2022). Bioenergy recovery from food waste through dark fermentation direction. Research Square (Research Square). https://doi.org/10.21203/rs.3.rs-1965745/v1","(Akhbari & Ibrahim, 2022)",,,,
,Food Waste (15 g-VS/L),Lactobacillus and Clostridium sensu stricto 1,Batch,6.5,37,"39.1(ml
H2/g-VS.L- 1","Akhbari, A., & Ibrahim, S. (2022). Bioenergy recovery from food waste through dark fermentation direction. Research Square (Research Square). https://doi.org/10.21203/rs.3.rs-1965745/v1","(Akhbari & Ibrahim, 2022)",,,,
,Food Waste (20 g-VS/L),Lactobacillus and Clostridium sensu stricto 1,Batch,6.5,37,"29.55(ml
H2/g-VS.L- 1","Akhbari, A., & Ibrahim, S. (2022). Bioenergy recovery from food waste through dark fermentation direction. Research Square (Research Square). https://doi.org/10.21203/rs.3.rs-1965745/v1","(Akhbari & Ibrahim, 2022)",,"Albuquerque, M. M., De Bona Sartor, G., Martinez-Burgos, W. J., Scapini, T., Edwiges, T., Soccol, C. R., & Medeiros, A. B. P. (2024). Biohydrogen produced via dark fermentation: a review. Methane, 3(3), 500–532. https://doi.org/10.3390/methane3030029","(Albuquerque et al., 2024)",
,Food Waste (25 g-VS/L),Lactobacillus and Clostridium sensu stricto 1,Batch,6.5,37,"31.27(ml
H2/g-VS.L- 1","Akhbari, A., & Ibrahim, S. (2022). Bioenergy recovery from food waste through dark fermentation direction. Research Square (Research Square). https://doi.org/10.21203/rs.3.rs-1965745/v1","(Akhbari & Ibrahim, 2022)",,,,
,Food waste and sewage sludge ,Anaerobic digester sludge,Batch ,6,35,122.9 mL H2/g VS,"Akhbari, A., & Ibrahim, S. (2022). Bioenergy recovery from food waste through dark fermentation direction. Research Square (Research Square). https://doi.org/10.21203/rs.3.rs-1965745/v1","(Akhbari & Ibrahim, 2022)",,,,
,Vegetable kitchen waste ,Kitchen waste compost,IntermittentCSTR ,6,55,1.7 mmol H2/g COD  ((mL H2/g VS),"Akhbari, A., & Ibrahim, S. (2022). Bioenergy recovery from food waste through dark fermentation direction. Research Square (Research Square). https://doi.org/10.21203/rs.3.rs-1965745/v1","(Akhbari & Ibrahim, 2022)",,,,
,Food Waste,Thermophilic acidogenic culture ,Batch,4.5,55,46.3 mL H2/g VS,"Akhbari, A., & Ibrahim, S. (2022). Bioenergy recovery from food waste through dark fermentation direction. Research Square (Research Square). https://doi.org/10.21203/rs.3.rs-1965745/v1","(Akhbari & Ibrahim, 2022)",,,,
,Food Waste (1 g-VS/L),Lactobacillus and Clostridium sensu stricto 1,,5.5,55,"7.39(ml
H2/g-VS.L- 1","Akhbari, A., & Ibrahim, S. (2022). Bioenergy recovery from food waste through dark fermentation direction. Research Square (Research Square). https://doi.org/10.21203/rs.3.rs-1965745/v1","(Akhbari & Ibrahim, 2022)",,,,
,Food Waste (5 g-VS/L),Lactobacillus and Clostridium sensu stricto 1,,5.5,55,"12.83(ml
H2/g-VS.L- 1","Akhbari, A., & Ibrahim, S. (2022). Bioenergy recovery from food waste through dark fermentation direction. Research Square (Research Square). https://doi.org/10.21203/rs.3.rs-1965745/v2","(Akhbari & Ibrahim, 2022)",,"Yun, Y., Lee, M., Im, S., Marone, A., Trably, E., Shin, S., Kim, M., Cho, S., & Kim, D. (2017). Biohydrogen production from food waste: Current status, limitations, and future perspectives. Bioresource Technology, 248, 79–87. https://doi.org/10.1016/j.biortech.2017.06.107","(Yun et al., 2017 ) thesis ",
,Food Waste (10 g-VS/L),Lactobacillus and Clostridium sensu stricto 1,,5.5,55,"31.81(ml
H2/g-VS.L- 1","Akhbari, A., & Ibrahim, S. (2022). Bioenergy recovery from food waste through dark fermentation direction. Research Square (Research Square). https://doi.org/10.21203/rs.3.rs-1965745/v3","(Akhbari & Ibrahim, 2022)",,,,
,Food Waste (15 g-VS/L),Clostridium sensu stricto 1,,5.5,55,129.2 mL/g VS,"Akhbari, A., & Ibrahim, S. (2022). Bioenergy recovery from food waste through dark fermentation direction. Research Square (Research Square). https://doi.org/10.21203/rs.3.rs-1965745/v4","(Akhbari & Ibrahim, 2022)",,"Pascualone, M. J., Costa, M. B. G., & Dalmasso, P. R. (2019). Fermentative biohydrogen production from a novel combination of vermicompost as inoculum and mild heat-pretreated fruit and vegetable waste. Biofuel Research Journal, 6(3), 1046–1053. https://doi.org/10.18331/brj2019.6.3.5","(Pascualone et al., 2019)",
,Food Waste (20 g-VS/L),Lactobacillus and Clostridium sensu stricto 1,,5.5,55,"29.73(ml
H2/g-VS.L- 1","Akhbari, A., & Ibrahim, S. (2022). Bioenergy recovery from food waste through dark fermentation direction. Research Square (Research Square). https://doi.org/10.21203/rs.3.rs-1965745/v5","(Akhbari & Ibrahim, 2022)",,,,
,Food Waste (25 g-VS/L),Lactobacillus and Clostridium sensu stricto 1,,5.5,55,"14.93(ml
H2/g-VS.L- 1","Akhbari, A., & Ibrahim, S. (2022). Bioenergy recovery from food waste through dark fermentation direction. Research Square (Research Square). https://doi.org/10.21203/rs.3.rs-1965745/v6","(Akhbari & Ibrahim, 2022)",,,,
,Food Waste (30 g-VS/L), Clostridium sensu stricto 1,,5.5,55,87.2 mL/g VS,"Akhbari, A., & Ibrahim, S. (2022). Bioenergy recovery from food waste through dark fermentation direction. Research Square (Research Square). https://doi.org/10.21203/rs.3.rs-1965745/v7","(Akhbari & Ibrahim, 2022)",,"Pascualone, M. J., Costa, M. B. G., & Dalmasso, P. R. (2019). Fermentative biohydrogen production from a novel combination of vermicompost as inoculum and mild heat-pretreated fruit and vegetable waste. Biofuel Research Journal, 6(3), 1046–1053. https://doi.org/10.18331/brj2019.6.3.5","(Pascualone et al., 2019)",
,Food Waste (1 g-VS/L),Lactobacillus and Clostridium sensu stricto 1,,6,55,"9.71(ml
H2/g-VS.L- 1","Akhbari, A., & Ibrahim, S. (2022). Bioenergy recovery from food waste through dark fermentation direction. Research Square (Research Square). https://doi.org/10.21203/rs.3.rs-1965745/v8","(Akhbari & Ibrahim, 2022)",,,,
,Food Waste (5 g-VS/L),Lactobacillus and Clostridium sensu stricto 1,,6,55,"28.69(ml
H2/g-VS.L- 1","Akhbari, A., & Ibrahim, S. (2022). Bioenergy recovery from food waste through dark fermentation direction. Research Square (Research Square). https://doi.org/10.21203/rs.3.rs-1965745/v9","(Akhbari & Ibrahim, 2022)",,,,
,Food Waste (10 g-VS/L),Lactobacillus and Clostridium sensu stricto 1,,6,55,"44.95(ml
H2/g-VS.L- 1","Akhbari, A., & Ibrahim, S. (2022). Bioenergy recovery from food waste through dark fermentation direction. Research Square (Research Square). https://doi.org/10.21203/rs.3.rs-1965745/v10","(Akhbari & Ibrahim, 2022)",,"Xiao, L., Deng, Z., Fung, K. Y., & Ng, K. M. (2013). Biohydrogen generation from anaerobic digestion of food waste. International Journal of Hydrogen Energy, 38(32), 13907–13913. https://doi.org/10.1016/j.ijhydene.2013.08.072","(Xiao et al., 2013)",
,Food Waste (15 g-VS/L),Lactobacillus and Clostridium sensu stricto 1,,6,55,"80.41(ml
H2/g-VS.L- 1","Akhbari, A., & Ibrahim, S. (2022). Bioenergy recovery from food waste through dark fermentation direction. Research Square (Research Square). https://doi.org/10.21203/rs.3.rs-1965745/v11","(Akhbari & Ibrahim, 2022)",,,,
,Food Waste (20 g-VS/L),Lactobacillus and Clostridium sensu stricto 1,,6,55,"71.35(ml
H2/g-VS.L- 1","Akhbari, A., & Ibrahim, S. (2022). Bioenergy recovery from food waste through dark fermentation direction. Research Square (Research Square). https://doi.org/10.21203/rs.3.rs-1965745/v12","(Akhbari & Ibrahim, 2022)",,,,
,Food Waste (25 g-VS/L),Lactobacillus and Clostridium sensu stricto 1,,6,55,"38.46(ml
H2/g-VS.L- 1","Akhbari, A., & Ibrahim, S. (2022). Bioenergy recovery from food waste through dark fermentation direction. Research Square (Research Square). https://doi.org/10.21203/rs.3.rs-1965745/v13","(Akhbari & Ibrahim, 2022)",,,,
,Food Waste (30 g-VS/L), Clostridium sensu stricto 1,,4.5,55,61.2 mL/g VS,"Akhbari, A., & Ibrahim, S. (2022). Bioenergy recovery from food waste through dark fermentation direction. Research Square (Research Square). https://doi.org/10.21203/rs.3.rs-1965745/v14","(Akhbari & Ibrahim, 2022)",,"Pascualone, M. J., Costa, M. B. G., & Dalmasso, P. R. (2019). Fermentative biohydrogen production from a novel combination of vermicompost as inoculum and mild heat-pretreated fruit and vegetable waste. Biofuel Research Journal, 6(3), 1046–1053. https://doi.org/10.18331/brj2019.6.3.5","(Pascualone et al., 2019)",
,Food Waste (1 g-VS/L),Lactobacillus and Clostridium sensu stricto 1,,6.5,55,"9.45(ml
H2/g-VS.L- 1","Akhbari, A., & Ibrahim, S. (2022). Bioenergy recovery from food waste through dark fermentation direction. Research Square (Research Square). https://doi.org/10.21203/rs.3.rs-1965745/v15","(Akhbari & Ibrahim, 2022)",,,,
,Food Waste (5 g-VS/L),Lactobacillus and Clostridium sensu stricto 1,,6.5,55,"23.97(ml
H2/g-VS.L- 1","Akhbari, A., & Ibrahim, S. (2022). Bioenergy recovery from food waste through dark fermentation direction. Research Square (Research Square). https://doi.org/10.21203/rs.3.rs-1965745/v16","(Akhbari & Ibrahim, 2022)",,,,
,Food Waste (10 g-VS/L),Lactobacillus and Clostridium sensu stricto 1,,6.5,55,"36.83(ml
H2/g-VS.L- 1","Akhbari, A., & Ibrahim, S. (2022). Bioenergy recovery from food waste through dark fermentation direction. Research Square (Research Square). https://doi.org/10.21203/rs.3.rs-1965745/v17","(Akhbari & Ibrahim, 2022)",,,,
,Food Waste (15 g-VS/L),Lactobacillus and Clostridium sensu stricto 1,,6.5,55,"58.32(ml
H2/g-VS.L- 1","Akhbari, A., & Ibrahim, S. (2022). Bioenergy recovery from food waste through dark fermentation direction. Research Square (Research Square). https://doi.org/10.21203/rs.3.rs-1965745/v18","(Akhbari & Ibrahim, 2022)",,,,
,Food Waste (20 g-VS/L),Lactobacillus and Clostridium sensu stricto 1,,6.5,55,"44.6(ml
H2/g-VS.L- 1","Akhbari, A., & Ibrahim, S. (2022). Bioenergy recovery from food waste through dark fermentation direction. Research Square (Research Square). https://doi.org/10.21203/rs.3.rs-1965745/v19","(Akhbari & Ibrahim, 2022)",,,,
,Food Waste (25 g-VS/L),Lactobacillus and Clostridium sensu stricto 1,,6.5,55,"44.28(ml
H2/g-VS.L- 1","Akhbari, A., & Ibrahim, S. (2022). Bioenergy recovery from food waste through dark fermentation direction. Research Square (Research Square). https://doi.org/10.21203/rs.3.rs-1965745/v20","(Akhbari & Ibrahim, 2022)",,,,
,Food Waste (30 g-VS/L),Lactobacillus and Clostridium sensu stricto 1,,6.5,55,"40.78(ml
H2/g-VS.L- 1","Akhbari, A., & Ibrahim, S. (2022). Bioenergy recovery from food waste through dark fermentation direction. Research Square (Research Square). https://doi.org/10.21203/rs.3.rs-1965745/v21","(Akhbari & Ibrahim, 2022)",,,,
1,Glucose ,Enterobacter aerogenes,Batch,6.5,38,1 (mol H2/mol glucose),"Okonkwo, O. (2019, December). Enhancement of thermophilic dark fermentative hydrogen production and the use of molecular biology methods for bioprocess monitoring (Doctoral thesis, Tampere University). HAL French Open Archive. https://theses.hal.science/tel-03066328","(Okonkwo, 2019)",https://theses.hal.science/tel-03066327,,,
2,Glucose ,Enterobacter cloacae,Batch,6,36,2.2 (mol H2/mol glucose),"Okonkwo, O. (2019, December). Enhancement of thermophilic dark fermentative hydrogen production and the use of molecular biology methods for bioprocess monitoring (Doctoral thesis, Tampere University). HAL French Open Archive. https://theses.hal.science/tel-03066329","(Okonkwo, 2019)",https://theses.hal.science/tel-03066327,,,
3,Glucose ,Clostridium beijerinckii ,Batch,7.2,35,2.8 (mol H2/mol glucose),"Okonkwo, O. (2019, December). Enhancement of thermophilic dark fermentative hydrogen production and the use of molecular biology methods for bioprocess monitoring (Doctoral thesis, Tampere University). HAL French Open Archive. https://theses.hal.science/tel-03066330","(Okonkwo, 2019)",https://theses.hal.science/tel-03066327,,,
4,Glucose ,Clostridium butyricum,Batch,7.2,36,2.3 (mol H2/mol glucose),"Okonkwo, O. (2019, December). Enhancement of thermophilic dark fermentative hydrogen production and the use of molecular biology methods for bioprocess monitoring (Doctoral thesis, Tampere University). HAL French Open Archive. https://theses.hal.science/tel-03066331","(Okonkwo, 2019)",https://theses.hal.science/tel-03066327,,,
5,Palm oil mill effluent  ,Clostridium butyricum ,Batch,5.5,37,0.22 (mol H2/mol glucose),"Okonkwo, O. (2019, December). Enhancement of thermophilic dark fermentative hydrogen production and the use of molecular biology methods for bioprocess monitoring (Doctoral thesis, Tampere University). HAL French Open Archive. https://theses.hal.science/tel-03066332","(Okonkwo, 2019)",https://theses.hal.science/tel-03066327,,,
